Descripción del producto,Precio con descuento,Precio sin descuento,Descuento,Categoría,Subcategoría,Imagen,Atributos,Fecha y hora de extracción
Galaxy A56 5G 8GB 256GB,US$ 425.00,,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/001-galaxy-a56-5g-set-cut-all_thumb_1.png,"['Inteligencia asombrosa.Círculo para buscar / Edición visual inteligente.', 'Selfies más asombrosas. Captura memorias con gran detalle. Retrato AI.', 'Pantalla más grande para un juego inmersivo.']",2025-03-31 21:57:46
Galaxy A36 5G 8GB 256GB,US$ 335.00,,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/001-galaxy-a36-5g_set-cut-all_thumb.png,"['Sé colorido, sé diferente, sé tú.', 'Una pantalla Awesome de 6.7” para un juego inmersivo.', 'Disfruta de hasta 29 horas de reproducción de vídeo ininterrumpida.']",2025-03-31 21:58:32
Galaxy Tab S10 Ultra Wi-Fi 256GB,"US$ 1,300.00",,,Mobile,Tablets,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-x920n_galaxy-tab-s10ultra_00_thumb.png,"['Obtén una visión cristalina y cómoda con Dynamic AMOLED 2X Anti-Reflection.', 'Procesador Dimensity 9300+.', 'Resistente al agua y al polvo.', 'Compatible con adaptador (45 W) y cargador inalámbrico.']",2025-04-01 11:47:04
Galaxy Tab S10+ Wi-Fi 256GB,"US$ 1,099.00",,,Mobile,Tablets,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-x820n_galaxy-tab-s10_00_thumb_2.png,"['Obtén una visión cristalina y cómoda con Dynamic AMOLED 2X Anti-Reflection.', 'Procesador Dimensity 9300+.', 'Resistente al agua y al polvo.', 'Compatible con adaptador (45 W) y cargador inalámbrico.']",2025-04-01 11:47:47
Galaxy Tab A9 Wi-Fi 64GB,US$ 99.00,,,Mobile,Tablets,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-x115_galaxytaba9_graphite_back-logo_thumb_2.png,"['Clásica y contemporánea.', 'Eleva tu capacidad y energía.', 'Diseñada para acompañarte a todos lados.', 'Compatible con adaptador (15 W).', 'Memoria: 4GB RAM y 64GB memoria interna.']",2025-04-01 11:48:29
Galaxy Watch Ultra 47mm,US$ 429.00,US$ 649.00,- 34%,Mobile,Watches,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-l705_000_thumb_2.png,"['Conocimientos de salud gracias a la tecnología de Galaxy AI', 'Resistencia al agua a 10 ATM', 'Hasta 100 horas de duración de la batería']",2025-04-01 11:49:02
Galaxy Watch7 44mm,US$ 269.00,US$ 329.00,- 18%,Mobile,Watches,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-l310-sm-l315_001_front_all_thumb.png,"['Información de salud de Galaxy AI.', 'Entrenamiento personalizado para dormir.', 'Seguimiento avanzado de la actividad física.', 'Nuevo procesador de 3nm que potencia tu rutina diaria.', 'GPS de doble frecuencia para un seguimiento preciso y consistente.']",2025-04-01 11:49:27
Galaxy Watch7 40mm,US$ 240.00,US$ 299.00,- 20%,Mobile,Watches,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-l300-sm-l305_001_front-all_thumb_1.png,"['Entrenamiento personalizado para dormir.', 'Seguimiento avanzado de la actividad física.', 'Nuevo procesador de 3nm que potencia tu rutina diaria.', 'GPS de doble frecuencia para un seguimiento preciso y consistente.', 'Tu compañero diario con tecnología de AI.']",2025-04-01 11:49:53
Galaxy Watch FE,US$ 139.00,,,Mobile,Watches,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-r861-watch6-fe_all_thumb_1_2.png,"['Diseñado con cristal de zafiro y resiste rayones y caídas.', 'A prueba de polvo y salpicaduras.', 'Más de 100 entrenamientos diferentes. También reconoce y registra tu actividad automáticamente.']",2025-04-01 11:50:35
Galaxy Fit3,US$ 69.00,,,Mobile,Watches,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-r390_000-all_thumb_1.png,"['Hasta 13 días con una sola carga.', 'Seguimiento de sueño y más de 100 ejercicios y actividades diarias.', 'Pantalla Amoled de 1.6"".', 'Detecta caídas y brinda ayuda.']",2025-04-01 11:51:19
Galaxy Buds3 Pro,US$ 149.00,US$ 229.00,- 35%,Mobile,Auriculares,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-r630_000_case-front_all_thumb_1.png,"['Lo último en Hi-Fi.', 'Diseño icónico con Blade Lights.', 'Adaptive Noise Control.']",2025-04-01 11:51:53
Galaxy Buds3,US$ 125.00,US$ 159.00,- 21%,Mobile,Auriculares,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-r530_000_case-front_all_thumb_1.png,"['Lo último en Hi-Fi.', 'Nuevo diseño de tipo abierto.', 'Adaptive EQ/ANC.']",2025-04-01 11:52:21
Galaxy Buds FE,US$ 99.00,,,Mobile,Auriculares,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-r400_000_black_white_thumb_4.png,"['Comodidad para tus oídos.', 'Mantén alejadas las distracciones y sumérgete en el sonido puro.', 'Una y otra vez con batería de larga duración.']",2025-04-01 11:53:05
Book Cover para Galaxy Tab S7+ | S7 FE (12.4 in),US$ 47.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-bt730_001_front_black_thumb_1_2.png,"['Mejor que un estuche, es una Book Cover.', 'Llévala con confianza y estilo.', 'Hasta nunca microbios.']",2025-04-01 11:53:56
Galaxy S24+ Silicone Case,US$ 24.00,US$ 30.00,- 20%,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-ps928_all_thumb.png,"['Colores vibrantes.', 'Tacto suave.', 'Combinando estilo y durabilidad.']",2025-04-01 11:54:25
Galaxy S24 Ultra Silicone Case,US$ 30.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-ps928_thumb.png,"['Colores vibrantes.', 'Tacto suave.', 'Combinando estilo y durabilidad.']",2025-04-01 11:55:06
Fit 3 Sport Band,US$ 15.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/t/et-sfr39m_000_all_thumb.png,"['Confort durante todo el día en tonos vivos.', 'Nuevo aspecto con un solo clic.', 'Personaliza.']",2025-04-01 11:55:50
Galaxy S24 Silicone Case,US$ 30.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-ps921t-all_thumb.png,"['Colores vibrantes.', 'Tacto suave.', 'Combinando estilo y durabilidad.']",2025-04-01 11:56:35
Super Fast Wireless Charger Duo,US$ 90.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/p/ep-p5400twegca_001_front_white_thumb_2.png,"['Carga super rápida.', 'Un cargador, dos dispositivos.', 'Protege tu dispositivo Galaxy con carga segura.', 'Diseño fino y compacto, cabe incluso en los espacios más pequeños']",2025-04-01 11:57:17
Galaxy S24 Ultra Clear Gadget Case,US$ 45.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-xs928_001_front_transparency_231115_thumb.png,"['Cambia los colores para que se adapten a tu gusto.', 'Un agarre suave con un aspecto elegante.', 'Un ajuste firme para mayor protección.']",2025-04-01 11:57:58
Galaxy S24+ Clear Gadget Case,US$ 36.00,US$ 45.00,- 20%,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-xs926_001_front_transparency_231115_thumb.png,"['Cambia los colores para que se adapten a tu gusto.', 'Un agarre suave con un aspecto elegante.', 'Un ajuste firme para mayor protección.']",2025-04-01 11:58:26
Galaxy S24 Clear Gadget Case,US$ 45.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-xs921_001_front_transparency_231115_thumb.png,"['Cambia los colores para que se adapten a tu gusto.', 'Un agarre suave con un aspecto elegante.', 'Un ajuste firme para mayor protección.']",2025-04-01 11:59:11
Galaxy S24 Ultra Standing Grip Case,US$ 45.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-gs928_006_set-cut_all_231123_thumb_2.png,"['Cambia los colores para que se adapten a tu gusto.', 'Un agarre suave con un aspecto elegante.', 'Un ajuste firme para mayor protección.']",2025-04-01 12:00:05
Galaxy S24+ Standing Grip Case,US$ 36.00,US$ 45.00,- 20%,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-gs926_006_set_cut_all_231123_thumb.png,"['Cambia los colores para que se adapten a tu gusto.', 'Un agarre suave con un aspecto elegante.', 'Un ajuste firme para mayor protección.', 'Convertimos los residuos en recursos valiosos.']",2025-04-01 12:00:34
Galaxy S24 Standing Grip Case,US$ 45.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-gs921_006_set-cut_all_231123_thumb_1.png,"['Cambia los colores para que se adapten a tu gusto.', 'Un agarre suave con un aspecto elegante.', 'Un ajuste firme para mayor protección.', 'Convertimos los residuos en recursos valiosos.']",2025-04-01 12:01:16
Galaxy S23 fe Silicone Case,US$ 30.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-ps711_000_all-colors_thumb.png,"['Cambia los colores para que se adapten a tu gusto.', 'Un agarre suave con un aspecto elegante.', 'Un ajuste firme para mayor protección.']",2025-04-01 12:02:00
Galaxy S23 Silicone Case,US$ 30.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-ps911_006_set-cut_all_thumb_1.png,"['Cambia los colores para que se adapten a tu gusto.', 'Un agarre suave con un aspecto elegante.', 'Un ajuste firme para mayor protección.']",2025-04-01 12:02:41
Fabric Band Slim (M/L) para Galaxy Watch6,US$ 49.99,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/t/et-svr9-02_thumb.png,"['Diseñado para no alterar tu descanso.', 'Hilo reflectante que facilita la detección en la oscuridad.', 'Cambiá el aspecto con un solo clic.']",2025-04-01 12:03:25
Galaxy Z Fold5 Slim S Pen Case,US$ 89.99,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/001-ef-of94p_007_setcut_all_230703_02_thumb.png,"['Cambia los colores para que se adapten a tu gusto.', 'Un agarre suave con un aspecto elegante.', 'Un ajuste firme para mayor protección.']",2025-04-01 12:04:10
Galaxy Z Flip5 Silicone Cover with Ring,US$ 39.99,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/001-ef-pf731_007_setcut_all_230703-02_thumb.png,"['Cambia los colores para que se adapten a tu gusto.', 'Un agarre suave con un aspecto elegante.', 'Un ajuste firme para mayor protección.']",2025-04-01 12:04:54
Sport Band (M/L) para el Galaxy Watch6,US$ 50.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/t/et-sfr94-thumb_1.png,"['Material de fluoroelastómero resistente al sudor.', 'Se ajusta perfectamente a tu muñeca para maximizar tu entrenamiento.', 'Cambia el aspecto con un solo clic.']",2025-04-01 12:05:34
Galaxy Watch5/Watch5 Pro Two-Tone Sport Band (M/L),US$ 40.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/t/et-str91l_all_thumb_1.png,"['Dos tonos de color en una sola correa.', 'Diseñada para seguridad y comodidad.']",2025-04-01 12:06:17
Galaxy A54 5G Clear Case,US$ 19.99,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-qa546c_001_back_transparent_thumb_2.png,"['El color a la vista.', 'Más transparencia y claridad', 'Decora tu smartphone.']",2025-04-01 12:07:00
Galaxy S23+ Silicone Grip Case,US$ 40.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-gs916_007_set-cut_all_thumb_1.png,"['Fácil de sostener, difícil de dejar.', 'Agarre suave y sujeción cómoda.', 'Personaliza tu correa como quieras.']",2025-04-01 12:07:44
Galaxy A34 5G Card Slot Case,US$ 14.99,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-oa346t_all_thumb.png,"['Fina y recargada.', 'Un diseño que combina resistencia y fluidez.', 'Diseñado pensando en el planeta.']",2025-04-01 12:08:26
Galaxy A34 5G Smart View Wallet Case,US$ 39.99,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-za346c_colors-all_thumb.png,"['Táctil incluso cerrado.', 'Tus tarjetas listas y seguras.', 'Creada con la naturaleza en mente.']",2025-04-01 12:09:10
Galaxy A54 5G Silicone Case,US$ 29.99,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-pa546t_all_thumb.png,"['Exprésate a todo color.', 'Encaja como un guante.', 'Diseñado pensando en el planeta.']",2025-04-01 12:09:54
Book Cover Galaxy Tab A7 Lite,US$ 30.00,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-bt220pjeguj__300.png,"['Protección con una cubierta cómoda y fácil de llevar a cualquier lugar.', 'Encuentra tu mejor ángulo.', 'Protege tu tablet de golpes y rayas.']",2025-04-01 12:10:36
Galaxy A54 5G Smart View Wallet Case,US$ 39.99,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-za346c_colors-all_thumb_2.png,"['Táctil incluso cerrado.', 'Tus tarjetas listas y seguras.', 'Creada con la naturaleza en mente.']",2025-04-01 12:11:17
Cover Smart Tag2 Silicone,US$ 19.99,,,Mobile,Accesorios,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/e/f/ef-pt560_004_set_all-1_thumb_1.png,"['Elija entre una colección de colores de moda', 'Cuelga cómodamente Galaxy SmartTag2 en tus objetos de valor', 'Diseñado para combinar con tu estilo de vida activo']",2025-04-01 12:12:01
Galaxy S25+ 5G 256GB,"US$ 1,099.00",,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-jl1578f2v1uvx1gplus_set-cut-all_002_thumb_1_3.png,"['Pantalla de 6.7” QHD+', 'Procesador Ultimate AP Snapdragon 8 Elite. El procesador más potente diseñado a medida para Galaxy', 'Duración de batería incomparable. Mira hasta 31 horas de videos.']",2025-04-01 12:38:12
Galaxy A26 5G 6GB 128GB,US$ 245.00,,,Mobile,Smpartphones,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/001-galaxy-a26-5g_set-cut-all_thumb.png,"['Pantalla Super AMOLED de 6,7"" con un bisel fino y minimizado te ofrece tu entretenimiento favorito con más claridad.', 'Función de rapidez y fluidez con Procesador de ocho núcleos.', 'Captura fotos de alta calidad con la cámara Gran Angular de 50MP.', 'Con una batería de larga duración de 5.000 mAh (típica), podrás disfrutar de maratones de películas de hasta 17 horas.']",2025-04-01 12:13:36
Galaxy S25 5G 256GB,US$ 899.00,,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-dtw89gd8zop3d7cny00jat2_set-cut-all_00_thumb_1_4.png,"['Pantalla de 6.2” QHD+', 'Procesador Ultimate AP Snapdragon 8 Elite. El procesador más potente diseñado a medida para Galaxy', 'Duración de batería incomparable. Mira hasta 29 horas de videos.']",2025-04-01 12:39:01
Galaxy S25 Ultra 5G 512GB,"US$ 1,499.00",,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-1vlw60b41yr6hbnultra_set-cut-all_002_thumb_6.png,"['Pantalla de 6.9” QHD+ con Spen integrado', 'Protegido por un fuerte marco de Titanio', 'seamless actions across apps/ Now Brief que facilitan tu día a día', 'Procesador más potente para capturar mejores fotos con el motor AI ProVisual']",2025-04-01 12:36:44
Galaxy S25 Ultra 5G 256GB,"US$ 1,379.00",,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-1vlw60b41yr6hbnultra_set-cut-all_002_thumb_6.png,"['Pantalla de 6.9” QHD+ con Spen integrado', 'Protegido por un fuerte marco de Titanio', 'seamless actions across apps/ Now Brief que facilitan tu día a día', 'Procesador más potente para capturar mejores fotos con el motor AI ProVisual']",2025-04-01 12:37:31
Galaxy S25 Ultra 5G 512GB Enterprise Edition,"US$ 1,499.00",,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-s938_galaxys25ultra_front_titaniumblack_02_thumb_2.png,"['Pantalla de 6.9” QHD+ con Spen integrado', 'Protegido por un fuerte marco de Titanio', 'seamless actions across apps/ Now Brief que facilitan tu día a día', 'Procesador más potente para capturar mejores fotos con el motor AI ProVisual']",2025-04-01 12:35:54
Galaxy S25 5G 128GB,US$ 829.00,,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-dtw89gd8zop3d7cny00jat2_set-cut-all_00_thumb_1_4.png,"['Pantalla de 6.2” QHD+', 'Procesador Ultimate AP Snapdragon 8 Elite. El procesador más potente diseñado a medida para Galaxy', 'Duración de batería incomparable. Mira hasta 29 horas de videos.']",2025-04-01 12:39:45
Galaxy A56 5G 8GB 256GB,US$ 425.00,,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/001-galaxy-a56-5g-set-cut-all_thumb_1.png,"['Inteligencia asombrosa.Círculo para buscar / Edición visual inteligente.', 'Selfies más asombrosas. Captura memorias con gran detalle. Retrato AI.', 'Pantalla más grande para un juego inmersivo.']",2025-04-01 12:45:33
Galaxy A16 LTE 4GB 128GB,US$ 149.00,,,Mobile,Smpartphones,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-a166f_galaxy-a16_5g_set-cut-all_01_thumb_3_3.png,"['Pantalla grande de 6,7""', 'Cámara principal de 50MP']",2025-04-01 12:19:39
Galaxy A16 5G 128GB,US$ 185.00,,,Mobile,Smpartphones,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-a166f_galaxy-a16_5g_set-cut-all_01_thumb.png,"['Pantalla grande de 6,7""', 'Cámara principal de 50MP']",2025-04-01 12:20:35
Galaxy Z Flip6 5G 512GB,"US$ 1,219.00",,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/000-sm-f741_zflip6_all_thumb_2_1.png,"['Innovación y el diseño premium.', 'La mejor selfie desde la pantalla externa.', 'Múltiples funciones con el modo Flex.']",2025-04-01 12:41:14
Galaxy A16 LTE 6GB 128GB,US$ 160.00,,,Mobile,Smpartphones,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-a166f_galaxy-a16_5g_set-cut-all_01_thumb_3.png,"['Pantalla grande de 6,7""', 'Cámara principal de 50MP']",2025-04-01 12:21:59
Galaxy S24 Ultra 5G 1TB,"US$ 1,499.00",,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-s928_galaxys24ultra_all-logo_thumb_4_3.png,"['El hardware líder del sector se une a una IA revolucionaria.', 'Fabricado con titanio. Creado para durar.', 'Fotografías de alta resolución de 200 MP y juegos hiperrealistas.', 'Live Translate. La forma más fácil de comunicarse.', 'Rodéalo y encuéntralo. Así de fácil.', 'Compatible con adaptador (45 W), Super Fast Charging y carga inalámbrica.']",2025-04-01 12:41:57
Galaxy Z Fold6 5G 512GB,"US$ 2,019.00",,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/001-onlineexclusive_sm-f956_zfold6_frontopenback_craftedblack_2-garantia_thumb_1_2.png,"['Una gran pantalla en la comodidad de tu bolsillo.', 'Productividad sin Límites con la función Multi-tarea.', 'Experiencia Gaming a otro nivel.', 'Version enterprise.', 'Soluciones para negocios: Vida util de mas de 2 años, hasta 7 años de mantenimiento de seguridad y 1 año de Knox Suite.']",2025-04-01 12:40:33
Galaxy S24 Ultra 5G 512GB,"US$ 1,179.00",,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-s928_galaxys24ultra_all-logo_thumb_4_2.png,"['El hardware líder del sector se une a una IA revolucionaria.', 'Fabricado con titanio. Creado para durar.', 'Live Translate. La forma más fácil de comunicarse.', 'Rodéalo y encuéntralo. Así de fácil.', 'Cámara líder en el sector. Ahora con AI.', 'Compatible con adaptador (45 W), Super Fast Charging y carga inalámbrica.']",2025-04-01 12:42:46
Galaxy S24 Ultra 256GB,"US$ 1,079.00",,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-s928_galaxys24ultra_all-logo_thumb_4_1.png,"['El hardware líder del sector se une a una IA revolucionaria.', 'Fabricado con titanio. Creado para durar.', 'Live Translate. La forma más fácil de comunicarse.', 'Rodéalo y encuéntralo. Así de fácil.', 'Cámara líder en el sector. Ahora con AI.', 'Compatible con adaptador (45 W), Super Fast Charging y carga inalámbrica.']",2025-04-01 12:43:28
Galaxy S24+ 5G 512GB,"US$ 1,199.00",,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/0/0/00-sm-s926_galaxys24plus_all-logo_thumb_1_1_1.png,"['El nuevo estándar de la telefonía móvil, ahora con Galaxy AI.', 'Biseles estrechos y aluminio satinado.', 'Live Translate. La forma más fácil de comunicarse.', 'Rodéalo y encuéntralo. Así de fácil.', 'Compatible con adaptador (45 W), Super Fast Charging y carga inalámbrica.']",2025-04-01 12:44:10
Galaxy S24 FE 256GB,US$ 719.00,,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-s721_galaxys24fe_00_thumb_1_2.png,"['Procesador más eficiente para un rendimiento superior.', 'Marco de aluminio y un cristal Corning Gorilla Glass Victus+.', 'Disfruta de una batería más grande de 4.565 mAh.', 'Compatible con adaptador (25 W), Fast Charging y carga inalámbrica.']",2025-04-01 12:44:52
Galaxy A55 5G 256GB,US$ 479.00,,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-a556_galaxy-a55_awesome_all-name_thumb.png,"['El metal se encuentra con el cristal, asombroso.', 'Multiplica la diversión.', 'Pantalla de gran calidad super AMOLED Infinity-O de 6,6"" FHD+, 120Hz y 1.000 nits de brillo.', 'Batería de 5000 mAh diseñada para durar dos días y recargarse con la Carga Super Rápida.']",2025-04-01 12:47:43
Galaxy A35 5G 256GB,US$ 399.00,,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-a356_galaxy-a35_all-name_thumb_1.png,"['Diseño icónico.', 'Multiplica la diversión.', 'Pantalla de gran calidad super AMOLED de 6,6"", 120Hz y 1.000 nits de brillo.', 'Batería de 5000 mAh diseñada para durar dos días y recargarse con la Carga Super Rápida.']",2025-04-01 12:49:09
Galaxy A35 5G 6GB 128GB,US$ 339.00,,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-a356_galaxy-a35_all-name_thumb.png,"['Diseño icónico.', 'Multiplica la diversión.', 'Pantalla de gran calidad super AMOLED de 6,6"", 120Hz y 1.000 nits de brillo.', 'Batería de 5000 mAh diseñada para durar dos días y recargarse con la Carga Super Rápida.']",2025-04-01 12:51:26
Galaxy A35 5G 8GB 128GB,US$ 349.00,,,Tecnología AI,Mobiles,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-a356_galaxy-a35_all-name_thumb.png,"['Diseño icónico.', 'Multiplica la diversión.', 'Pantalla de gran calidad super AMOLED de 6,6"", 120Hz y 1.000 nits de brillo.', 'Batería de 5000 mAh diseñada para durar dos días y recargarse con la Carga Super Rápida.']",2025-04-01 12:49:50
Galaxy A25 5G 128GB,US$ 249.00,,,Mobile,Smpartphones,https://shop.samsung.com/latin/pub/media/catalog/product/cache/2b2695fadb4ac4429a87ca35cb4029fd/s/m/sm-a256b_galaxy-a25-5g-all-logo_thumb_2.png,"['Super AMOLED 6.5"" FHD+.', 'Camára 50MP OISs.', 'Procesador 5nm Octa-core.']",2025-04-01 12:32:06
